Address,Name,Value,Unit,Type,Accuracy

--- I General（0x0040-0x007F） ---
0x0040,AddressMask_General1,0.0000,,U64,1
0x0042,,0.0000,,U16,1
0x0044,Modbus_Protocol_Version,108.0000,,BCD16,1
0x0046,CTRL1_MCU_Code,,,ASCII,1
0x0048,MCU_Code_Rsvd1 -- 10,0.0000,,U16,1
0x0052,Protocol_ARM-DSPM,1028.0000,,U16,1
0x0054,Protocol_DSPM-DSPS,771.0000,,U16,1
0x0066,,0.0000,,U16,1
0x007E,客户ID_0 -- 1,0.0000,,U16,1
0x0400,AddressMask_Realtime_SysInfo1,16383.0000,,U64,1
0x0404,SysState,2.0000,,U16,1
0x0418,Temperature_Env1 -- 2,51.0000,℃,I16,1.0
0x041A,Temperature_HeatSink1 -- 6,45.0000,℃,I16,1.0
0x0420,Temperature_Inv1 -- 3,47.0000,℃,I16,1.0
0x0426,GenerationTime_Today,720.0000,分钟,U16,1.0
0x042C,SysTime_Year,24.0000,,U16,1
0x042E,SysTime_Date,16.0000,,U16,1
0x0430,SysTime_Minute,1.0000,,U16,1
0x0432,Fault19 -- 30,0.0000,,U16,1
0x043E,,0.0000,,U16,1
0x0440,AddressMask_Realtime_SysInfo2,0.0000,,U64,1
0x0444,Production_Code,4660.0000,,U16,1
0x0450,Software_Version_Major_COM,11,,ASCII,1
0x0452,Software_Version_Minor_COM,51,,ASCII,1
0x0454,Software_Version_Major_Master,11,,ASCII,1
0x0456,Software_Version_Minor_Master,51,,ASCII,1
0x0458,Software_Version_Major_Slave,11,,ASCII,1
0x045A,Software_Version_Minor_Slave,51,,ASCII,1
0x045C,Safety_version_Minor,12337.0000,,U16,1
0x045E,Boot_Version_Master,0.0000,,U16,1
0x0460,Safety_Firmware_Version_Stage,0V,,ASCII,1
0x0462,Safety_Firmware_Version_Custom,00,,ASCII,1
0x0464,Safety_Hardware_Version0,V1,,ASCII,1
0x0466,Afci_Ver_Firmware,,,ASCII,1
0x0468,Afci_Ver_Hard,,,ASCII,1
0x046A,Afci_Ver_Com,,,ASCII,1
0x046C,Safety_Package_Version1,,,ASCII,1
0x0470,Serial_Number8 -- 9,,,ASCII,1
0x0472,Serial_Number11_Rsvd0 -- 4,,,ASCII,1
0x0480,AddressMask_Realtime_GridOutput1,0.0000,,U64,1
0x0484,Frequency_Grid,50.0000,Hz,U16,0.01
0x0486,ReactivePower_Output_Total,-0.1500,kW,I16,0.01
0x0488,ActivePower_PCC_Total,-3.9000,kW,I16,0.01
0x048A,ApparentPower_PCC_Total,0.0000,kW,I16,0.01
0x048E,Current_Output_R,1.7400,A,U16,0.01
0x0490,ReactivePower_Output_R,0.0000,kW,I16,0.01
0x0492,Current_PCC_R,6.7100,A,U16,0.01
0x0494,ReactivePower_PCC_R,0.0000,kW,I16,0.01
0x0496,R_Rsvd1 -- 2,0.0000,,U16,1
0x0498,Voltage_Phase_S,235.5000,V,U16,0.1
0x049A,ActivePower_Output_S,0.0200,kW,I16,0.01
0x049C,PowerFactor_Output_S,0.0000,p.u.,I16,0.001
0x049E,ActivePower_PCC_S,-1.3300,kW,I16,0.01
0x04A0,PowerFactor_PCC_S,0.0000,p.u.,I16,0.001
0x04A4,Current_Output_T,1.6800,A,U16,0.01
0x04A6,ReactivePower_Output_T,0.0000,kW,I16,0.01
0x04A8,Current_PCC_T,6.6000,A,U16,0.01
0x04AA,ReactivePower_PCC_T,0.0000,kW,I16,0.01
0x04AC,T_Rsvd1 -- 2,0.0000,,U16,1
0x04AE,ActivePower_PV_Ext,0.0000,kW,U16,0.01
0x04B0,Voltage_Phase_L1N,0.0000,V,U16,0.1
0x04B2,ActivePower_Output_L1N,0.0000,kW,I16,0.01
0x04B4,ActivePower_PCC_L1N,0.0000,kW,I16,0.01
0x04B6,Current_Output_L2N,0.0000,A,U16,0.01
0x04B8,Current_PCC_L2N,0.0000,A,U16,0.01
0x04BA,Voltage_Line_L1,0.0000,V,U16,0.1
0x04BC,Voltage_Line_L3,0.0000,V,U16,0.1
0x0500,AddressMask_Realtime_EmergencyOutput1,0.0000,,U64,1
0x0504,ActivePower_Load_Total,0.0000,kW,I16,0.01
